,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,Year,DOW,Double_Header
517,2017-05-08,TOR,Home,CLE,W,4.0,2.0,9.0,12-20,5.0,10.0,Stroman,Bauer,Osuna,2:55,N,40014.0,2,,2017,Monday,
518,2017-05-09,TOR,Home,CLE,L,0.0,6.0,9.0,12-21,5.0,10.5,Carrasco,Bolsinger,None,2:46,N,32688.0,-1,,2017,Tuesday,
519,2017-05-10,TOR,Home,CLE,W-wo,8.0,7.0,9.0,13-21,5.0,9.5,Osuna,Allen,None,3:31,N,35115.0,1,,2017,Wednesday,
520,2017-05-11,TOR,Home,SEA,W,7.0,2.0,9.0,14-21,5.0,9.0,Estrada,De Jong,None,2:45,N,29120.0,2,,2017,Thursday,
521,2017-05-12,TOR,Home,SEA,W,4.0,0.0,9.0,15-21,5.0,8.0,Biagini,Bergman,None,2:36,N,32865.0,3,,2017,Friday,
522,2017-05-13,TOR,Home,SEA,W,7.0,2.0,9.0,16-21,5.0,7.0,Leone,Vincent,None,3:25,D,42346.0,4,,2017,Saturday,
523,2017-05-14,TOR,Home,SEA,W-wo,3.0,2.0,9.0,17-21,5.0,6.5,Tepera,Diaz,None,3:17,D,42030.0,5,,2017,Sunday,
524,2017-05-15,TOR,Home,ATL,L,6.0,10.0,9.0,17-22,5.0,7.0,Colon,Bolsinger,None,3:15,N,29766.0,-1,,2017,Monday,
525,2017-05-16,TOR,Home,ATL,L,5.0,9.0,9.0,17-23,5.0,8.0,Ramirez,Barnes,None,3:07,D,34431.0,-2,,2017,Tuesday,
526,2017-05-17,TOR,@,ATL,L,4.0,8.0,9.0,17-24,5.0,9.0,Foltynewicz,Biagini,None,2:59,N,28293.0,-3,,2017,Wednesday,
527,2017-05-18,TOR,@,ATL,W,9.0,0.0,9.0,18-24,5.0,8.0,Stroman,Teheran,None,3:02,N,25419.0,1,,2017,Thursday,
528,2017-05-19,TOR,@,BAL,L-wo,3.0,5.0,10.0,18-25,5.0,8.0,Givens,Grilli,None,3:29,N,31916.0,-1,,2017,Friday,
529,2017-05-20,TOR,@,BAL,L,5.0,7.0,9.0,18-26,5.0,8.5,Givens,Barnes,Brach,3:22,N,45416.0,-2,,2017,Saturday,
530,2017-05-21,TOR,@,BAL,W,3.0,1.0,9.0,19-26,5.0,8.0,Estrada,Miley,Osuna,2:31,D,36632.0,1,,2017,Sunday,
531,2017-05-23,TOR,@,MIL,W,4.0,3.0,9.0,20-26,5.0,7.5,Barnes,Nelson,Osuna,3:02,N,30742.0,2,,2017,Tuesday,
532,2017-05-24,TOR,@,MIL,W,8.0,4.0,9.0,21-26,5.0,7.5,Stroman,Garza,None,2:51,D,26607.0,3,,2017,Wednesday,
533,2017-05-26,TOR,Home,TEX,W,7.0,6.0,9.0,22-26,5.0,6.5,Loup,Griffin,Osuna,3:30,N,40754.0,4,,2017,Friday,
534,2017-05-27,TOR,Home,TEX,W,3.0,1.0,9.0,23-26,5.0,6.5,Estrada,Darvish,Osuna,3:16,D,46825.0,5,,2017,Saturday,
535,2017-05-28,TOR,Home,TEX,L,1.0,3.0,9.0,23-27,5.0,7.5,Cashner,Biagini,Bush,2:53,D,46188.0,-1,,2017,Sunday,
536,2017-05-29,TOR,Home,CIN,W,17.0,2.0,9.0,24-27,5.0,6.5,Stroman,Bonilla,None,3:06,N,29844.0,1,,2017,Monday,
537,2017-05-30,TOR,Home,CIN,W,6.0,4.0,9.0,25-27,5.0,6.5,Smith,Wood,Osuna,2:53,N,32747.0,2,,2017,Tuesday,
538,2017-05-31,TOR,Home,CIN,W,5.0,4.0,9.0,26-27,5.0,5.5,Grilli,Peralta,Osuna,2:53,D,44058.0,3,,2017,Wednesday,
539,2017-06-01,TOR,Home,NYY,L,2.0,12.0,9.0,26-28,5.0,6.5,Sabathia,Estrada,None,3:10,N,37722.0,-1,,2017,Thursday,
540,2017-06-02,TOR,Home,NYY,W,7.0,5.0,9.0,27-28,5.0,5.5,Liriano,Pineda,Osuna,3:13,N,44261.0,1,,2017,Friday,
541,2017-06-03,TOR,Home,NYY,L,0.0,7.0,9.0,27-29,5.0,6.5,Montgomery,Biagini,None,3:00,D,47226.0,-1,,2017,Saturday,
542,2017-06-04,TOR,Home,NYY,W,3.0,2.0,9.0,28-29,4.0,5.5,Smith,Clippard,Osuna,2:27,D,46782.0,1,,2017,Sunday,
543,2017-06-05,TOR,@,OAK,L,3.0,5.0,9.0,28-30,5.0,6.0,Manaea,Happ,Casilla,3:05,N,12890.0,-1,,2017,Monday,
544,2017-06-06,TOR,@,OAK,L,1.0,4.0,9.0,28-31,5.0,6.0,Hahn,Estrada,Casilla,2:45,N,16643.0,-2,,2017,Tuesday,
545,2017-06-07,TOR,@,OAK,W,7.0,5.0,10.0,29-31,5.0,6.0,Tepera,Montas,Osuna,3:20,D,15076.0,1,,2017,Wednesday,
546,2017-06-09,TOR,@,SEA,L,2.0,4.0,9.0,29-32,5.0,7.5,Cloyd,Biagini,Diaz,2:53,N,33518.0,-1,,2017,Friday,
547,2017-06-10,TOR,@,SEA,W,4.0,2.0,9.0,30-32,5.0,7.5,Stroman,Zych,Osuna,2:44,N,45480.0,1,,2017,Saturday,
548,2017-06-11,TOR,@,SEA,W,4.0,0.0,9.0,31-32,5.0,7.5,Happ,Paxton,Osuna,3:01,D,41137.0,2,,2017,Sunday,
549,2017-06-13,TOR,Home,TBR,L,1.0,8.0,9.0,31-33,5.0,8.0,Faria,Estrada,None,3:15,N,39404.0,-1,,2017,Tuesday,
550,2017-06-14,TOR,Home,TBR,W,7.0,6.0,9.0,32-33,5.0,7.0,Smith,Alvarado,Osuna,3:07,N,37734.0,1,,2017,Wednesday,
551,2017-06-16,TOR,Home,CHW,L,4.0,11.0,9.0,32-34,4.0,6.5,Quintana,Biagini,None,3:05,N,39071.0,-1,,2017,Friday,
552,2017-06-17,TOR,Home,CHW,L,2.0,5.0,9.0,32-35,5.0,6.5,Pelfrey,Stroman,Robertson,2:44,D,47171.0,-2,,2017,Saturday,
553,2017-06-18,TOR,Home,CHW,W,7.0,3.0,9.0,33-35,5.0,5.5,Happ,Swarzak,None,3:01,D,46599.0,1,,2017,Sunday,
554,2017-06-19,TOR,@,TEX,W,7.0,6.0,9.0,34-35,4.0,5.0,Beliveau,Bush,Osuna,3:48,N,25115.0,2,,2017,Monday,
555,2017-06-20,TOR,@,TEX,L,1.0,6.0,9.0,34-36,5.0,5.5,Martinez,Liriano,None,3:06,N,24169.0,-1,,2017,Tuesday,
556,2017-06-21,TOR,@,TEX,W,7.0,5.0,9.0,35-36,4.0,5.0,Biagini,Ross,Osuna,3:20,N,28376.0,1,,2017,Wednesday,
557,2017-06-22,TOR,@,TEX,L,4.0,11.0,9.0,35-37,4.0,5.0,Perez,Stroman,None,3:07,D,26764.0,-1,,2017,Thursday,
558,2017-06-23,TOR,@,KCR,L-wo,4.0,5.0,9.0,35-38,4.0,6.0,Soria,Loup,None,3:16,N,38848.0,-2,,2017,Friday,
559,2017-06-24,TOR,@,KCR,L,2.0,3.0,9.0,35-39,5.0,6.0,Vargas,Estrada,Herrera,2:26,D,26938.0,-3,,2017,Saturday,
560,2017-06-25,TOR,@,KCR,W,8.0,2.0,9.0,36-39,5.0,5.0,Liriano,Alexander,None,3:21,D,37182.0,1,,2017,Sunday,
561,2017-06-27,TOR,Home,BAL,L,1.0,3.0,9.0,36-40,5.0,6.5,Gausman,Biagini,Brach,3:00,N,40606.0,-1,,2017,Tuesday,
562,2017-06-28,TOR,Home,BAL,W,4.0,0.0,9.0,37-40,5.0,5.5,Stroman,Miley,None,2:27,N,38847.0,1,,2017,Wednesday,
563,2017-06-29,TOR,Home,BAL,L,0.0,2.0,9.0,37-41,5.0,6.5,Jimenez,Happ,Brach,2:20,N,37291.0,-1,,2017,Thursday,
564,2017-06-30,TOR,Home,BOS,L,4.0,7.0,11.0,37-42,5.0,7.5,Boyer,Loup,Kimbrel,4:44,N,41357.0,-2,,2017,Friday,
565,2017-07-01,TOR,Home,BOS,L,1.0,7.0,9.0,37-43,5.0,8.5,Sale,Liriano,None,2:54,D,46672.0,-3,,2017,Saturday,
566,2017-07-02,TOR,Home,BOS,L,1.0,15.0,9.0,37-44,5.0,9.5,Pomeranz,Biagini,Abad,3:34,D,46696.0,-4,,2017,Sunday,
567,2017-07-03,TOR,@,NYY,L,3.0,6.0,9.0,37-45,5.0,10.5,Tanaka,Stroman,None,3:11,N,46616.0,-5,,2017,Monday,
568,2017-07-04,TOR,@,NYY,W,4.0,1.0,9.0,38-45,5.0,10.5,Happ,Sabathia,Osuna,3:08,D,44018.0,1,,2017,Tuesday,
569,2017-07-05,TOR,@,NYY,W,7.0,6.0,9.0,39-45,5.0,9.5,Barnes,Betances,Osuna,3:28,D,38691.0,2,,2017,Wednesday,
570,2017-07-06,TOR,Home,HOU,W,7.0,4.0,9.0,40-45,4.0,8.5,Liriano,McCullers,Osuna,3:18,N,40949.0,3,,2017,Thursday,
571,2017-07-07,TOR,Home,HOU,L,2.0,12.0,9.0,40-46,4.0,9.5,Morton,Sanchez,None,3:00,N,37332.0,-1,,2017,Friday,
572,2017-07-08,TOR,Home,HOU,W,7.0,2.0,9.0,41-46,4.0,8.5,Stroman,Fiers,None,2:44,D,46659.0,1,,2017,Saturday,
573,2017-07-09,TOR,Home,HOU,L,1.0,19.0,9.0,41-47,5.0,8.5,Peacock,Happ,None,3:24,D,46622.0,-1,,2017,Sunday,
574,2017-07-14,TOR,@,DET,W,7.0,2.0,9.0,42-47,4.0,8.5,Sanchez,Verlander,None,3:48,N,37879.0,1,,2017,Friday,
575,2017-07-15,TOR,@,DET,L,1.0,11.0,9.0,42-48,4.0,8.5,Fulmer,Liriano,None,2:47,N,40036.0,-1,,2017,Saturday,
576,2017-07-16,TOR,@,DET,L-wo,5.0,6.0,11.0,42-49,4.0,9.0,Saupold,Beliveau,None,4:16,D,37173.0,-2,,2017,Sunday,
577,2017-07-17,TOR,@,BOS,W,4.0,3.0,9.0,43-49,4.0,8.0,Tepera,Hembree,Osuna,3:18,N,36144.0,1,,2017,Monday,
578,2017-07-18,TOR,@,BOS,L-wo,4.0,5.0,15.0,43-50,5.0,9.0,Velazquez,Bolsinger,None,4:59,N,36488.0,-1,,2017,Tuesday,
579,2017-07-19,TOR,@,BOS,L,1.0,5.0,9.0,43-51,5.0,10.0,Pomeranz,Sanchez,None,2:47,N,37360.0,-2,,2017,Wednesday,
580,2017-07-20,TOR,@,BOS,W,8.0,6.0,9.0,44-51,5.0,9.0,Leone,Fister,Osuna,3:25,D,37094.0,1,,2017,Thursday,
581,2017-07-21,TOR,@,CLE,L,3.0,13.0,9.0,44-52,5.0,10.0,Bauer,Estrada,None,3:23,N,34284.0,-1,,2017,Friday,
582,2017-07-22,TOR,@,CLE,L-wo,1.0,2.0,10.0,44-53,5.0,10.0,Shaw,Barnes,None,3:01,N,34569.0,-2,,2017,Saturday,
583,2017-07-23,TOR,@,CLE,L,1.0,8.0,9.0,44-54,5.0,10.0,Kluber,Happ,None,2:53,D,30701.0,-3,,2017,Sunday,
584,2017-07-24,TOR,Home,OAK,W,4.0,2.0,9.0,45-54,5.0,9.0,Liriano,Smith,Osuna,2:37,N,39613.0,1,,2017,Monday,
585,2017-07-25,TOR,Home,OAK,W,4.0,1.0,9.0,46-54,5.0,8.0,Valdez,Gray,Osuna,2:55,N,40624.0,2,,2017,Tuesday,
586,2017-07-26,TOR,Home,OAK,W-wo,3.0,2.0,9.0,47-54,5.0,8.0,Biagini,Casilla,None,2:51,N,41984.0,3,,2017,Wednesday,
587,2017-07-27,TOR,Home,OAK,W-wo,8.0,4.0,10.0,48-54,5.0,7.5,Osuna,Hendriks,None,3:28,D,47484.0,4,,2017,Thursday,
588,2017-07-28,TOR,Home,LAA,L,2.0,7.0,9.0,48-55,5.0,8.0,Bridwell,Happ,None,2:47,N,39828.0,-1,,2017,Friday,
589,2017-07-29,TOR,Home,LAA,L,5.0,6.0,9.0,48-56,5.0,9.0,Scribner,Osuna,Norris,2:52,D,46502.0,-2,,2017,Saturday,
590,2017-07-30,TOR,Home,LAA,W-wo,11.0,10.0,9.0,49-56,5.0,8.0,Dermody,Norris,None,3:38,D,46852.0,1,,2017,Sunday,
591,2017-07-31,TOR,@,CHW,L-wo,6.0,7.0,9.0,49-57,5.0,9.0,Beck,Osuna,None,3:01,N,13023.0,-1,,2017,Monday,
592,2017-08-01,TOR,@,CHW,W,8.0,4.0,9.0,50-57,5.0,8.5,Stroman,Pelfrey,None,3:22,N,14622.0,1,,2017,Tuesday,
593,2017-08-02,TOR,@,CHW,W,5.0,1.0,9.0,51-57,5.0,8.0,Happ,Holland,Osuna,3:15,D,20878.0,2,,2017,Wednesday,
594,2017-08-04,TOR,@,HOU,L,7.0,16.0,9.0,51-58,5.0,9.5,Peacock,Valdez,None,3:05,N,39287.0,-1,,2017,Friday,
595,2017-08-05,TOR,@,HOU,W,4.0,3.0,10.0,52-58,5.0,9.5,Tepera,Liriano,Osuna,3:16,N,41950.0,1,,2017,Saturday,
596,2017-08-06,TOR,@,HOU,L-wo,6.0,7.0,9.0,52-59,5.0,10.5,Martes,Osuna,None,3:16,D,36300.0,-1,,2017,Sunday,
597,2017-08-08,TOR,Home,NYY,W,4.0,2.0,9.0,53-59,5.0,10.5,Happ,Sabathia,Osuna,2:50,N,41596.0,1,,2017,Tuesday,
598,2017-08-09,TOR,Home,NYY,L,5.0,11.0,9.0,53-60,5.0,11.5,Green,Tepesch,None,3:44,N,39554.0,-1,,2017,Wednesday,
599,2017-08-10,TOR,Home,NYY,W,4.0,0.0,9.0,54-60,5.0,11.0,Estrada,Gray,None,2:55,N,43212.0,1,,2017,Thursday,
600,2017-08-11,TOR,Home,PIT,L,2.0,4.0,9.0,54-61,5.0,11.0,Taillon,Stroman,Rivero,2:41,N,35965.0,-1,,2017,Friday,
601,2017-08-12,TOR,Home,PIT,W,7.0,2.0,9.0,55-61,5.0,11.0,Rowley,Williams,None,2:50,D,46179.0,1,,2017,Saturday,
602,2017-08-13,TOR,Home,PIT,W,7.0,1.0,9.0,56-61,5.0,11.0,Happ,Kuhl,None,2:51,D,43618.0,2,,2017,Sunday,
603,2017-08-14,TOR,Home,TBR,W,2.0,1.0,9.0,57-61,5.0,10.0,Tepesch,Odorizzi,Osuna,2:54,N,32151.0,3,,2017,Monday,
604,2017-08-15,TOR,Home,TBR,L,4.0,6.0,9.0,57-62,5.0,11.0,Snell,Estrada,Colome,3:13,N,33718.0,-1,,2017,Tuesday,
605,2017-08-16,TOR,Home,TBR,W,3.0,2.0,9.0,58-62,5.0,11.0,Stroman,Faria,Osuna,3:10,N,36784.0,1,,2017,Wednesday,
606,2017-08-17,TOR,Home,TBR,W,5.0,3.0,9.0,59-62,3.0,10.5,Leone,Hunter,Osuna,3:01,D,46855.0,2,,2017,Thursday,
607,2017-08-18,TOR,@,CHC,L,4.0,7.0,9.0,59-63,4.0,11.5,Arrieta,Happ,Davis,3:02,D,41814.0,-1,,2017,Friday,
608,2017-08-19,TOR,@,CHC,L,3.0,4.0,9.0,59-64,4.0,11.5,Quintana,Barnes,Davis,3:09,D,41558.0,-2,,2017,Saturday,
609,2017-08-20,TOR,@,CHC,L-wo,5.0,6.0,10.0,59-65,5.0,12.5,Wilson,Osuna,None,3:44,D,41459.0,-3,,2017,Sunday,
610,2017-08-22,TOR,@,TBR,L,5.0,6.0,9.0,59-66,5.0,13.0,Archer,Rowley,Colome,2:54,N,11948.0,-4,,2017,Tuesday,
611,2017-08-23,TOR,@,TBR,W,7.0,6.0,9.0,60-66,5.0,13.0,Tepera,Hunter,Osuna,3:13,N,8264.0,1,,2017,Wednesday,
612,2017-08-24,TOR,@,TBR,L,0.0,2.0,9.0,60-67,5.0,13.0,Cishek,Koehler,Colome,3:21,D,10133.0,-1,,2017,Thursday,
613,2017-08-25,TOR,Home,MIN,L,1.0,6.0,9.0,60-68,5.0,13.0,Colon,Happ,None,3:05,N,37525.0,-2,,2017,Friday,
614,2017-08-26,TOR,Home,MIN,W,10.0,9.0,9.0,61-68,5.0,12.0,Estrada,Gee,Osuna,3:04,D,45591.0,1,,2017,Saturday,
615,2017-08-27,TOR,Home,MIN,L,2.0,7.0,9.0,61-69,5.0,12.0,Gibson,Biagini,None,3:18,D,42478.0,-1,,2017,Sunday,
616,2017-08-28,TOR,Home,BOS,L,5.0,6.0,9.0,61-70,5.0,13.0,Pomeranz,Barnes,Kimbrel,3:23,N,35630.0,-2,,2017,Monday,
617,2017-08-29,TOR,Home,BOS,L,0.0,3.0,9.0,61-71,5.0,14.0,Sale,Anderson,Kimbrel,2:44,N,34674.0,-3,,2017,Tuesday,
618,2017-08-30,TOR,Home,BOS,L,1.0,7.0,9.0,61-72,5.0,15.0,Porcello,Koehler,None,2:58,N,37693.0,-4,,2017,Wednesday,
619,2017-08-31,TOR,@,BAL,W,11.0,8.0,9.0,62-72,5.0,14.0,Estrada,Hellickson,Osuna,3:28,N,13802.0,1,,2017,Thursday,
620,2017-09-01,TOR,@,BAL,L-wo,0.0,1.0,13.0,62-73,5.0,15.0,Yacabonis,Loup,None,4:27,N,16627.0,-1,,2017,Friday,
621,2017-09-02,TOR,@,BAL,W,7.0,2.0,9.0,63-73,5.0,14.0,Dermody,Miley,None,3:02,N,14815.0,1,,2017,Saturday,
622,2017-09-03,TOR,@,BAL,L-wo,4.0,5.0,12.0,63-74,5.0,14.0,Yacabonis,Barnes,None,3:40,D,27231.0,-1,,2017,Sunday,
623,2017-09-04,TOR,@,BOS,W,10.0,4.0,9.0,64-74,5.0,13.0,Happ,Porcello,None,3:25,N,34311.0,1,,2017,Monday,
624,2017-09-05,TOR,@,BOS,L-wo,2.0,3.0,19.0,64-75,5.0,14.0,Velazquez,Rowley,None,6:00,N,33009.0,-1,,2017,Tuesday,
625,2017-09-06,TOR,@,BOS,L,1.0,6.0,9.0,64-76,5.0,15.0,Fister,Biagini,None,2:57,N,33190.0,-2,,2017,Wednesday,
626,2017-09-08,TOR,Home,DET,L,4.0,5.0,9.0,64-77,5.0,16.0,Farmer,Stroman,Greene,2:34,N,31961.0,-3,,2017,Friday,
627,2017-09-09,TOR,Home,DET,W,5.0,4.0,9.0,65-77,5.0,16.0,Anderson,Saupold,Tepera,3:03,D,44218.0,1,,2017,Saturday,
628,2017-09-10,TOR,Home,DET,W,8.0,2.0,9.0,66-77,5.0,15.0,Happ,Sanchez,Santos,2:48,D,39797.0,2,,2017,Sunday,
629,2017-09-11,TOR,Home,BAL,W,4.0,3.0,9.0,67-77,5.0,14.5,Estrada,Jimenez,Leone,2:44,N,28401.0,3,,2017,Monday,
630,2017-09-12,TOR,Home,BAL,W-wo,3.0,2.0,9.0,68-77,5.0,14.5,Mayza,Britton,None,2:40,N,29055.0,4,,2017,Tuesday,
631,2017-09-13,TOR,Home,BAL,L,1.0,2.0,9.0,68-78,5.0,14.5,Gausman,Stroman,Britton,2:40,N,31714.0,-1,,2017,Wednesday,
632,2017-09-14,TOR,@,MIN,L-wo,2.0,3.0,10.0,68-79,5.0,15.5,Gee,Santos,None,3:29,N,22664.0,-2,,2017,Thursday,
633,2017-09-15,TOR,@,MIN,W,4.0,3.0,9.0,69-79,5.0,15.5,Happ,Colon,Osuna,2:57,N,27902.0,1,,2017,Friday,
634,2017-09-16,TOR,@,MIN,W,7.0,2.0,9.0,70-79,5.0,15.5,Estrada,Mejia,None,2:50,N,29917.0,2,,2017,Saturday,
635,2017-09-17,TOR,@,MIN,L,7.0,13.0,9.0,70-80,5.0,15.5,Gibson,Biagini,None,3:17,D,27572.0,-1,,2017,Sunday,
636,2017-09-19,TOR,Home,KCR,W,5.0,2.0,9.0,71-80,5.0,16.0,Stroman,Kennedy,Osuna,2:27,N,33554.0,1,,2017,Tuesday,
637,2017-09-20,TOR,Home,KCR,L,5.0,15.0,9.0,71-81,5.0,17.0,Junis,Anderson,None,3:01,N,33050.0,-1,,2017,Wednesday,
638,2017-09-21,TOR,Home,KCR,L,0.0,1.0,9.0,71-82,5.0,17.5,Vargas,Happ,Minor,2:39,N,35861.0,-2,,2017,Thursday,
639,2017-09-22,TOR,Home,NYY,W,8.0,1.0,9.0,72-82,5.0,17.5,Estrada,Tanaka,None,2:32,N,42153.0,1,,2017,Friday,
640,2017-09-23,TOR,Home,NYY,L,1.0,5.0,9.0,72-83,5.0,18.5,Gray,Biagini,None,2:54,D,46949.0,-1,,2017,Saturday,
641,2017-09-24,TOR,Home,NYY,W,9.0,5.0,9.0,73-83,5.0,18.5,Stroman,Garcia,None,3:17,D,47394.0,1,,2017,Sunday,
642,2017-09-25,TOR,@,BOS,W,6.0,4.0,9.0,74-83,5.0,17.5,Anderson,Pomeranz,Osuna,2:57,N,33940.0,2,,2017,Monday,
643,2017-09-26,TOR,@,BOS,W,9.0,4.0,9.0,75-83,4.0,16.5,Happ,Sale,None,3:04,N,33999.0,3,,2017,Tuesday,
644,2017-09-27,TOR,@,BOS,L,7.0,10.0,9.0,75-84,4.0,17.5,Porcello,Estrada,None,2:57,N,34445.0,-1,,2017,Wednesday,
645,2017-09-29,TOR,@,NYY,L,0.0,4.0,9.0,75-85,4.0,17.0,Tanaka,Biagini,Chapman,2:51,D,35735.0,-2,,2017,Friday,
646,2017-09-30,TOR,@,NYY,L,1.0,2.0,9.0,75-86,4.0,18.0,Sabathia,Stroman,Chapman,2:57,D,39457.0,-3,,2017,Saturday,
647,2017-10-01,TOR,@,NYY,W,2.0,1.0,9.0,76-86,4.0,17.0,Barnes,German,Osuna,2:28,D,37428.0,1,,2017,Sunday,
